8.43,5.29,0.279,0.843,-12.73,-17.911,4.035
-18.455,-5.724,-17.937,6.936,9.961,16.715,2.036
18.245,9.706,13.173,-9.111,-5.271,10.797,-7.653
10.799,4.764,7.97,-4.529,-16.143,-25.986,4.185
-7.365,-8.842,-22.27,5.036,24.587,25.986,-5.856
-4.112,10.349,-3.445,-13.036,18.766,10.351,5.856
12.511,2.184,21.559,-11.243,-32.005,-26.08,11.976
12.639,-17.016,9.922,15.241,0.215,4.969,-33.014
-34.633,0.33,-7.154,-23.86,15.845,42.575,6.294
3.867,4.669,-26.022,8.371,12.099,-32.578,17.68
26.232,3.691,7.269,9.047,-22.24,-15.598,-25.65
6.44,-3.495,25.24,-10.228,2.541,40.367,7.888
-38.6,6.911,14.027,-12.674,9.055,26.839,13.319
3.767,16.373,-17.015,23.691,23.364,-65.936,-8.669
35.728,-12.993,-28.516,15.216,-25.049,21.241,-18.125
5.42,-2.161,22.126,-4.706,-11.449,43.271,17.562
-37.389,18.435,22.423,-19.457,28.843,-31.662,10.739
22.166,12.995,0.958,-4.58,22.553,-23.056,-15.781
24.529,-34.552,-26.084,40.182,-41.789,32.414,5.915
-12.131,3.122,-11.874,10.599,-18.853,22.356,20.907
-9.809,19.29,16.485,-41.82,56.575,-26.274,-18.022
17.065,20.946,30.428,-4.311,10.069,-8.902,-3.905
2.637,-39.067,0.227,32.438,-21.644,37.957,14.617
-8.968,-8.39,-49.824,33.502,-9.058,-10.62,6.88928
-1.067,22.895,-0.031,-30.927,19.415,-28.361,-15.384
16.236,29.827,11.66,-22.013,17.46,34.072,-18.985
6.529,-38.541,30.384,39.116,-27.897,6.589,37.048
-23.366,-28.765,-1.878,11.062,20.739,-22.828,11.403
12.184,37.83,-33.111,-31.608,25.156,2.101,-53.225
6.593,20.78,-21.633,-1.384,-17.084,25.354,6.08
-2.834,-25.813,14.143,24.981,-16.223,4.02,37.374
-19.343,-12.782,43.394,6.554,4.859,-17.452,14.814
10.057,0.246,5.914,-12.529,27.553,10.62,-48.803
2.235,21.43,-29.673,-0.571,-27.408,11.654,-1.225
-19.708,27.163,-27.979,19.149,-4.2,-21.63,29.745
-6.085,-39.196,7.125,-20.643,29.667,1.68,15.555
2.317,-12.279,30.897,26.02,-4.206,23.971,-54.185
22.203,13.9,15.121,-6.934,-13.238,-12.355,5.093
-16.699,27.683,-24.181,7.525,11.255,-22.26,51.225
-8.647,-5.855,-9.648,2.453,11.634,34.403,-10.329
